Sex,ID,Trial_type,Condition,Total_distance,Velocity,IZ_time,Corner_time,applied_id,cohort_id,model,other,lab
Female,1494,No Target,Control,1132.8,7.55197,88.8,17.325,CF01,S01,CSNDS,Standard,pena
Female,1512,No Target,Control,1207.16,8.05308,43.775,33.425,CF02,S01,CSNDS,Standard,pena
Female,1432,No Target,Control,1222.59,8.1506,53.875,31.525,CF03,S01,CSNDS,Standard,pena
Female,1418,No Target,Control,1337.04,8.91358,74.725,17.25,CF04,S01,CSNDS,Standard,pena
Female,1397,No Target,Control,1171.44,7.80959,70.425,18.325,CF05,S01,CSNDS,Standard,pena
Female,1403,No Target,Control,NA,7.46682,84.025,NA,CEF01,S01,CSNDS,ELS,pena
Female,1444,No Target,Control,NA,8.03629,49.125,NA,CEF02,S01,CSNDS,ELS,pena
Female,1455,No Target,Control,NA,8.25634,61.675,NA,CEF03,S01,CSNDS,ELS,pena
Female,1471,No Target,Control,NA,7.80596,61.75,NA,CEF04,S01,CSNDS,ELS,pena
Female,1499,No Target,Control,NA,7.87122,55.825,NA,CEF05,S01,CSNDS,ELS,pena
Male,1316,No Target,Control,988.913,6.59276,54,31.25,CM01,S01,CSNDS,Standard,pena
Male,1385,No Target,Control,1230.45,8.22356,41.1,15.6,CM02,S01,CSNDS,Standard,pena
Male,1391,No Target,Control,935.66,6.23981,61.05,33.775,CM03,S01,CSNDS,Standard,pena
Male,1409,No Target,Control,780.098,5.20065,18.1,28.375,CM04,S01,CSNDS,Standard,pena
Male,1482,No Target,Control,1020.56,6.80373,69.1,16.7,CM05,S01,CSNDS,Standard,pena
Male,1400,No Target,Control,1040.44,6.93628,74.8,24.775,CEM01,S01,CSNDS,ELS,pena
Male,1446,No Target,Control,918.358,6.13363,44.75,39.775,CEM02,S01,CSNDS,ELS,pena
Male,1456,No Target,Control,1292.09,8.61395,48.85,23.15,CEM03,S01,CSNDS,ELS,pena
Male,1474,No Target,Control,1378.85,9.1923,56.75,24.175,CEM04,S01,CSNDS,ELS,pena
Male,1505,No Target,Control,1408.56,9.40134,52.95,26.85,CEM05,S01,CSNDS,ELS,pena
Male,1573,No Target,Control,1210.22,8.06817,27.95,23.975,CM06,S01,CSNDS,Standard,pena
Male,1647,No Target,Control,1315.03,8.76686,44.5,33.55,CM07,S01,CSNDS,Standard,pena
Male,1660,No Target,Control,1337.36,8.91574,41.725,25.75,CM08,S01,CSNDS,Standard,pena
Male,1675,No Target,Control,1479.33,9.86217,51.55,14.55,CM09,S01,CSNDS,Standard,pena
Male,1680,No Target,Control,1382.14,9.21428,46.125,18.95,CM10,S01,CSNDS,Standard,pena
Male,1579,No Target,Control,1368.1,9.1911,43.9,27.225,CEM06,S01,CSNDS,ELS,pena
Male,1592,No Target,Control,1151.39,7.67595,61.475,18.3,CEM07,S01,CSNDS,ELS,pena
Male,1606,No Target,Control,1070.76,7.13837,54.575,12.55,CEM08,S01,CSNDS,ELS,pena
Male,1623,No Target,Control,1322.18,8.81452,44.65,16.325,CEM09,S01,CSNDS,ELS,pena
Male,1656,No Target,Control,1257.03,8.39982,43.975,24.975,CEM10,S01,CSNDS,ELS,pena
Female,1494,Target,Control,778.355,5.54187,97.65,9.225,CF01,S01,CSNDS,Standard,pena
Female,1512,Target,Control,757.458,5.09216,54.725,36.25,CF02,S01,CSNDS,Standard,pena
Female,1432,Target,Control,676.526,4.51017,89.3,13.025,CF03,S01,CSNDS,Standard,pena
Female,1418,Target,Control,936.192,6.24128,91.45,12.85,CF04,S01,CSNDS,Standard,pena
Female,1397,Target,Control,729.025,4.86666,92.975,15.15,CF05,S01,CSNDS,Standard,pena
Female,1403,Target,Control,NA,5.2451,93.3,NA,CEF01,S01,CSNDS,ELS,pena
Female,1444,Target,Control,NA,4.86508,80.45,NA,CEF02,S01,CSNDS,ELS,pena
Female,1455,Target,Control,NA,4.6729,113.2,NA,CEF03,S01,CSNDS,ELS,pena
Female,1471,Target,Control,NA,6.03552,95.55,NA,CEF04,S01,CSNDS,ELS,pena
Female,1499,Target,Control,NA,4.9857,83.975,NA,CEF05,S01,CSNDS,ELS,pena
Male,1316,Target,Control,528.469,3.5792,84.75,9.1,CM01,S01,CSNDS,Standard,pena
Male,1385,Target,Control,775.426,5.32299,67.875,16.475,CM02,S01,CSNDS,Standard,pena
Male,1391,Target,Control,800.37,5.34382,80.9,15.85,CM03,S01,CSNDS,Standard,pena
Male,1409,Target,Control,521.345,3.47564,69.4,13.025,CM04,S01,CSNDS,Standard,pena
Male,1482,Target,Control,894.051,5.96034,77.35,16.275,CM05,S01,CSNDS,Standard,pena
Male,1400,Target,Control,897.448,5.98298,74.725,13.5,CEM01,S01,CSNDS,ELS,pena
Male,1446,Target,Control,850.56,5.6704,65.825,19.475,CEM02,S01,CSNDS,ELS,pena
Male,1457,Target,Control,850.069,5.66713,85.375,12.7,CEM03,S01,CSNDS,ELS,pena
Male,1474,Target,Control,962.899,6.41933,71.825,10.6,CEM04,S01,CSNDS,ELS,pena
Male,1505,Target,Control,1024.52,6.83011,53.425,24.375,CEM05,S01,CSNDS,ELS,pena
Male,1573,Target,Control,608.461,4.0564,92.625,5.2,CM06,S01,CSNDS,Standard,pena
Male,1647,Target,Control,834.845,5.56564,44.85,35.075,CM07,S01,CSNDS,Standard,pena
Male,1660,Target,Control,859.548,5.73032,41.5,21.9,CM08,S01,CSNDS,Standard,pena
Male,1675,Target,Control,1043.09,6.95395,64.8,18.2,CM09,S01,CSNDS,Standard,pena
Male,1680,Target,Control,1019.27,6.79516,62.475,11.775,CM10,S01,CSNDS,Standard,pena
Male,1579,Target,Control,922.764,6.15176,22.35,37.3,CEM06,S01,CSNDS,ELS,pena
Male,1592,Target,Control,802.776,5.35184,72.325,10.125,CEM07,S01,CSNDS,ELS,pena
Male,1606,Target,Control,609.266,4.07741,78.15,21.55,CEM08,S01,CSNDS,ELS,pena
Male,1623,Target,Control,780.502,5.20335,15.35,17.5,CEM09,S01,CSNDS,ELS,pena
Male,1656,Target,Control,756.572,5.04381,88.075,14.775,CEM10,S01,CSNDS,ELS,pena
Female,1386,No Target,Stress,1021.86,6.81237,83.7,9.1,SF01,S01,CSNDS,Standard,pena
Female,1387,No Target,Stress,1115.25,7.43501,79.65,19.85,SF02,S01,CSNDS,Standard,pena
Female,1389,No Target,Stress,1103.95,7.35968,83.225,19.525,SF03,S01,CSNDS,Standard,pena
Female,1393,No Target,Stress,955.395,6.43255,75.475,22.475,SF04,S01,CSNDS,Standard,pena
Female,1394,No Target,Stress,1244.64,8.29759,63.45,24.225,SF05,S01,CSNDS,Standard,pena
Female,1411,No Target,Stress,1151.86,7.69448,70.65,20.9,SF06,S01,CSNDS,Standard,pena
Female,1412,No Target,Stress,932.527,6.22515,79.375,32.55,SF07,S01,CSNDS,Standard,pena
Female,1419,No Target,Stress,1083.43,7.22284,80.775,23.95,SF08,S01,CSNDS,Standard,pena
Female,1430,No Target,Stress,921.686,6.64518,67.7,18.05,SF09,S01,CSNDS,Standard,pena
Female,1484,No Target,Stress,875.681,5.83788,63.425,24.325,SF10,S01,CSNDS,Standard,pena
Female,1488,No Target,Stress,1375.51,9.17004,71.75,17.475,SF11,S01,CSNDS,Standard,pena
Female,1493,No Target,Stress,1089.74,7.26493,65.575,9.8,SF12,S01,CSNDS,Standard,pena
Female,1513,No Target,Stress,852.894,5.68596,91.95,13.075,SF13,S01,CSNDS,Standard,pena
Female,1520,No Target,Stress,950.816,6.34089,85.175,15.675,SF14,S01,CSNDS,Standard,pena
Female,1433,No Target,Stress,1165.23,7.7682,69.925,16.675,SF15,S01,CSNDS,Standard,pena
Female,1402,No Target,Stress,NA,8.63894,55.025,NA,SEF01,S01,CSNDS,ELS,pena
Female,1404,No Target,Stress,NA,8.26221,54.35,NA,SEF02,S01,CSNDS,ELS,pena
Female,1441,No Target,Stress,NA,5.94235,87.625,NA,SEF03,S01,CSNDS,ELS,pena
Female,1442,No Target,Stress,NA,4.55679,74.8,NA,SEF04,S01,CSNDS,ELS,pena
Female,1451,No Target,Stress,NA,6.30822,72.05,NA,SEF05,S01,CSNDS,ELS,pena
Female,1453,No Target,Stress,NA,6.24468,45,NA,SEF06,S01,CSNDS,ELS,pena
Female,1460,No Target,Stress,NA,8.54292,73.775,NA,SEF07,S01,CSNDS,ELS,pena
Female,1461,No Target,Stress,NA,8.01726,73.2,NA,SEF08,S01,CSNDS,ELS,pena
Female,1462,No Target,Stress,NA,7.13552,89.525,NA,SEF09,S01,CSNDS,ELS,pena
Female,1469,No Target,Stress,NA,8.82479,76.425,NA,SEF10,S01,CSNDS,ELS,pena
Female,1470,No Target,Stress,NA,9.57536,61.85,NA,SEF11,S01,CSNDS,ELS,pena
Female,1477,No Target,Stress,NA,6.38445,76.5,NA,SEF12,S01,CSNDS,ELS,pena
Female,1480,No Target,Stress,NA,8.98437,78.55,NA,SEF13,S01,CSNDS,ELS,pena
Female,1500,No Target,Stress,NA,7.29343,80.375,NA,SEF14,S01,CSNDS,ELS,pena
Female,1507,No Target,Stress,NA,9.41255,54.175,NA,SEF15,S01,CSNDS,ELS,pena
Male,1415,No Target,Stress,1056.61,7.04405,84.3,14.3,SM01,S01,CSNDS,Standard,pena
Male,1392,No Target,Stress,898.21,5.99206,61.825,33.55,SM02,S01,CSNDS,Standard,pena
